iter	RMSE
0	7349.96795
1	6907.759889
2	6457.135572
3	6097.375952
4	5747.236228
5	5422.411326
6	5117.025492
7	4861.914178
8	4607.98555
9	4358.858603
10	4154.69496
11	3991.500963
12	3807.370249
13	3636.003074
14	3463.05633
15	3323.307524
16	3188.872703
17	3069.002597
18	2980.905704
19	2860.169862
20	2756.063232
21	2670.653537
22	2587.200819
23	2504.521054
24	2431.063356
25	2365.057373
26	2294.404427
27	2228.053278
28	2173.223963
29	2119.030768
30	2075.45316
31	2029.42867
32	1992.679627
33	1967.278178
34	1930.12267
35	1897.379178
36	1867.929438
37	1837.851556
38	1812.48595
39	1783.885307
40	1750.312548
41	1717.025423
42	1697.854669
43	1679.131852
44	1656.475005
45	1638.295412
46	1621.339895
47	1603.348069
48	1585.683321
49	1565.63631
50	1545.233561
51	1534.583163
52	1512.300204
53	1498.647517
54	1476.624355
55	1469.402707
56	1453.629321
57	1441.703684
58	1430.065485
59	1416.029735
60	1399.497695
61	1387.943076
62	1376.34699
63	1369.373676
64	1362.895244
65	1349.600694
66	1340.452628
67	1331.6497
68	1319.269547
69	1313.172352
70	1306.60348
71	1294.936871
72	1277.193858
73	1272.67652
74	1252.553406
75	1244.972429
76	1239.106409
77	1219.602723
78	1202.880195
79	1198.833521
80	1192.561339
81	1178.495985
82	1175.043168
83	1171.81286
84	1164.65416
85	1161.69764
86	1155.788063
87	1150.692283
88	1146.958906
89	1137.207232
90	1134.708822
91	1130.260241
92	1111.327927
93	1100.265588
94	1094.898711
95	1091.865883
96	1083.517804
97	1074.683455
98	1067.676609
99	1053.147826
100	1043.790671
101	1036.570674
102	1033.871946
103	1028.999011
104	1020.699616
105	1014.752626
106	1012.249599
107	1008.050422
108	1005.810054
109	995.6199486
110	988.0278326
111	978.703401
112	973.8476752
113	968.2077566
114	966.2703087
115	958.7769383
116	951.2133743
117	946.2915611
118	939.3018825
119	934.832736
120	931.1282073
121	922.3552707
122	917.0264342
123	914.6856737
124	908.9162836
125	905.1002952
126	903.2839415
127	898.0495282
128	892.613606
129	890.973863
130	888.7678748
131	880.6405529
132	877.550672
133	874.6368957
134	870.1844633
135	868.9986454
136	858.3076347
137	853.3534425
138	849.5184211
139	841.8221338
140	837.2069805
141	833.6654333
142	826.0479009
143	819.2807055
144	811.0184306
145	806.5930555
146	804.2515125
147	799.6181977
148	795.8590943
149	794.1235205
150	791.4190828
151	787.060336
152	782.3544206
153	779.6212328
154	776.3783883
155	771.9889792
156	768.6383791
157	765.8230326
158	763.4450428
159	761.5057942
160	754.0517871
161	748.7537552
162	745.2482062
163	740.2593076
164	739.4232495
165	738.6376317
166	735.3859661
167	734.6813859
168	731.7368605
169	726.5969157
170	726.0254564
171	722.0822607
172	717.942645
173	712.4663977
174	711.8109531
175	706.7870073
176	702.8589086
177	699.4402195
178	695.0146164
179	690.2356085
180	686.5915286
181	685.0241935
182	681.1535237
183	678.1139099
184	675.2253377
185	671.0799364
186	667.9649115
187	663.0623326
188	661.1156747
189	658.3741081
190	654.405388
191	652.7997781
192	649.2617275
193	648.7099868
194	648.1284709
195	646.7205857
196	644.1845237
197	643.5596108
198	640.7119602
199	637.9103702
200	637.4524275
201	635.2225477
202	632.8694491
203	630.7907907
204	629.2504618
205	625.4714263
206	623.1013448
207	619.5381081
208	616.9238553
209	616.5096131
210	615.3098104
211	612.8924992
212	610.4325791
213	606.8434093
214	603.7170274
215	601.6504814
216	599.3691577
217	595.933156
218	594.5074263
219	591.2541441
220	589.338002
221	587.3568565
222	583.5557227
223	581.2912285
224	575.6373075
225	575.3078009
226	573.4112666
227	573.1020906
228	570.2580786
229	568.1802838
230	566.7106512
231	564.9689974
232	562.9531065
233	560.9085892
234	557.8414432
235	555.3254411
