iter	Passed	Remaining
0	1	1101
1	2	1037
2	8	2937
3	9	2438
4	15	3004
5	15	2622
6	16	2363
7	18	2257
8	21	2318
9	21	2161
10	25	2265
11	26	2140
12	26	2023
13	27	1931
14	28	1843
15	28	1765
16	33	1931
17	34	1876
18	46	2400
19	55	2700
20	56	2632
21	57	2548
22	58	2483
23	63	2585
24	64	2523
25	71	2690
26	72	2625
27	73	2560
28	83	2779
29	84	2727
30	87	2742
31	88	2681
32	89	2623
33	90	2570
34	91	2519
35	104	2796
36	109	2849
37	110	2798
38	111	2747
39	116	2790
40	118	2767
41	122	2794
42	125	2802
43	128	2787

43	157	3429
44	158	3371
45	159	3315
46	164	3344
47	168	3339
48	176	3428
49	177	3375
50	178	3327
51	179	3280
52	190	3410
53	191	3356
54	194	3339
55	195	3288
56	196	3247
57	197	3200
58	197	3154
59	198	3113
60	199	3071
61	200	3029
62	200	2988
63	64	218	3164	65	220	3165	66	224	3132
67	226	3167	68	229	3068	216	2918
69	70	234	3073
71	238	3071
72	242	3079
73	245	3072
74	248	3060
75	252	3071
76	258	3103
77	260	3073
78	261	3043
79	262	3014
80	262	2982
81	263	2955
82	265	2929
83	266	2902
84	267	2875
85	268	2848
86	268	2821
87	269	2797
88	270	2773
89	272	2750
90	273	2727
91	274	2705
92	275	2682
93	275	2658
94	276	2637
95	277	2615
96	278	2593
97	279	2572
98	281	2561
99	283	2551
100	284	2530
101	287	2528
102	288	2511
103	288	2487
104	289	2466
105	289	2445
106	290	2425
107	291	2404
108	292	2392
109	293	2374
110	294	2359
111	297	2355
112	299	2349
113	301	2346
114	304	2343
115	305	2328
116	308	2331
117	310	2318
118	312	2310
119	312	2294
120	315	2288
121	318	2289
122	318	2274
123	321	2274
124	324	2270
125	326	2264
126	329	2264
127	332	2265
128	334	2260
129	336	2253
130	339	2254
131	341	2247
132	344	2247
133	346	2240
134	348	2232
135	351	2231
136	353	2228
137	355	2222
138	357	2212
139	359	2206
140	362	2207
141	365	2207
142	367	2200
143	368	2192
144	373	2200
145	375	2199
146	378	2194
147	379	2186
148	381	2176
149	381	2162
150	384	2161
151	385	2151
152	387	2144
153	389	2137
154	390	2130
155	392	2123
156	393	2113
157	394	2101
158	394	2088
159	395	2075
160	395	2062
161	396	2050
162	396	2038
163	397	2025
164	397	2013
165	398	2001
166	398	1989
167	399	1977
168	399	1966
169	400	1954
170	401	1945
171	402	1937
332	1602
172	333	1593
173	333	1585
174	334	1576
175	334	1568
176	335	1560
177	336	1552
178	337	1547
179	338	1541
180	338	1533
181	339	1525
182	339	1517
183	340	1509
184	341	1503
185	341	1495
186	342	1488
187	342	1480
188	343	1472
189	343	1465
190	344	1458
191	344	1450
192	345	1443
193	345	1436
194	346	1429
195	346	1422
196	347	1415
197	347	1408
198	348	1401
199	348	1394
200	348	1387
201	349	1379
202	349	1372
203	350	1366
204	350	1360
205	351	1354
206	351	1347
207	352	1341
208	352	1335
209	353	1329
210	353	1323
211	355	1320
212	355	1314
213	356	1308
214	356	1302
215	357	1295
216	357	1289
217	358	1285
218	358	1280
219	359	1274
220	359	1268
221	360	1265
222	361	1259
223	362	1254
224	362	1249
225	363	1244
226	364	1241
227	365	1238
228	366	1234
229	367	1230
230	368	1227
231	369	1223
232	370	1220
233	372	1218
234	374	1218
235	375	1216
236	376	1213
237	378	1210
238	379	1207
239	380	1205
240	381	1202
241	382	1197
242	382	1192
243	383	1186
244	383	1182
245	384	1177
246	384	1171
247	384	1166
248	385	1162
249	385	1157
250	386	1152
251	386	1147
252	386	1142
253	387	1137
254	387	1133
255	388	1128
256	388	1123
257	389	1119
258	389	1114
259	389	1109
260	390	1105
261	390	1100
262	391	1096
263	391	1091
264	392	1087
265	392	1083
266	392	1078
267	393	1074
268	393	1069
269	394	1065
270	394	1061
271	394	1057
272	395	1053
273	395	1049
274	396	1045
275	396	1040
276	397	1036
277	397	1032
278	398	1028
279	398	1024
280	398	1020
281	399	1016
282	399	1012
283	400	1008
284	400	1004
285	400	1000
286	401	996
287	401	992
288	402	989
289	402	985
290	402	981
291	403	977
292	403	973
293	403	970
294	404	966
295	404	962
296	405	958
297	405	955
298	405	951
299	406	948
300	406	944
301	407	941
302	407	937
303	408	934
304	408	930
305	408	927
306	409	924
307	410	922
308	411	919
309	411	915
310	411	912
311	412	909
312	412	906
313	413	902
314	413	899
315	414	896
316	414	893
317	414	889
318	415	886
319	415	883
320	416	880
321	416	877
322	416	873
323	417	870
324	417	867
325	418	864
326	418	861
327	419	858
328	419	855
329	420	852
330	420	849
331	420	846
332	421	843
333	421	840
334	422	837
335	422	834
336	422	831
337	423	829
338	423	826
339	424	823
340	424	820
341	425	817
342	425	814
343	425	811
344	426	809
345	426	806
346	426	803
347	427	800
348	427	798
349	428	795
350	428	792
351	429	789
352	429	787
353	429	784
354	430	781
355	430	779
356	431	776
357	431	773
358	431	771
359	432	768
360	432	765
361	433	763
362	433	760
363	433	758
364	434	755
365	434	753
366	435	750
367	435	748
368	436	745
369	436	743
370	436	740
371	437	738
372	437	735
373	438	733
374	438	730
375	438	728
376	439	725
377	439	723
378	440	721
379	440	718
380	440	716
381	441	714
382	441	711
383	442	709
384	442	706
385	442	704
386	443	702
387	443	699
388	444	697
389	444	695
390	445	693
391	445	690
392	445	688
393	446	686
